sample_id,item_name,user_description,category,risk_label,used_days,remaining_pct,weekly_use_count,user_count,is_shared,has_shelf_life,days_to_expire,is_damaged,source,label_source,original_category,original_user_judgment,remaining_text,frequency_text,shelf_life_text,notes
real_001,抽纸/纸巾,宿舍吃饭、擦手和日常清洁都会用；访谈中提到两周前吃完东西发现没纸。,清洁日用,建议补货,14,20.0,14.0,1,0,0,999,0,real_user,user_interview,清洁日用,急需补货,剩约1包/20%,每天多次,无,高频易耗品；无保质期；急需补货预测样本。
real_002,卷纸/卫生纸,上厕所和宿舍日常都会用；没有提前记录，通常用完才发现。,清洁日用,需要关注,20,25.0,7.0,1,0,0,999,0,real_user,user_interview,清洁日用,近期关注,剩约1卷/25%,每天,无,高频刚需品；无保质期；剩余量较少，用完会直接影响日常生活；适合作为近期关注样本。
real_003,垃圾袋,寝室共用，用户说垃圾袋属于和室友共用的物品。,清洁日用,需要关注,25,20.0,5.0,4,1,0,999,0,real_user,user_interview,清洁日用,近期关注,剩约5个/20%,每天或隔天,无,寝室共用易耗品；消耗速度受室友人数和使用习惯影响；适合测试共用品补货判断。
real_004,牙膏,自己使用，早晚刷牙；剩余量靠目测判断。,洗漱用品,需要关注,45,33.33333333333333,14.0,1,0,0,999,0,real_user,user_interview,洗漱用品,近期关注,剩约1/3管,每天2次,无,个人洗漱高频用品；无明显保质期压力；剩余量可目测，适合按使用天数预测补货。
real_005,牙刷,自己使用，已经用了较长时间，但不太会单独记录更换日期。,洗漱用品,需要关注,60,70.0,14.0,1,0,1,90,0,real_user,user_interview,洗漱用品,近期关注,可继续使用,每天2次,建议3个月左右更换,个人卫生用品；不是按剩余量消耗，而是按使用周期更换；适合测试定期更换提醒。
real_006,洗发水,洗头使用，瓶身还能看到大概剩余量。,洗漱用品,正常,50,40.0,3.5,1,0,1,365,0,real_user,user_interview,洗漱用品,暂不需要,剩约40%,每周3-4次,开封后建议12个月内使用,个人洗漱用品；中频使用；有开封后使用期限但短期风险不高；当前属于暂不需要补货。
real_007,沐浴露,洗澡使用，自己管理，缺了通常会网购。,洗漱用品,需要关注,40,30.0,5.0,1,0,1,365,0,real_user,user_interview,洗漱用品,近期关注,剩约30%,每天或隔天,开封后建议12个月内使用,个人洗漱易耗品；使用频率较高且剩余偏少；适合设置近期补货提醒。
real_008,洗面奶,早晚洗脸使用，剩余量不太好精确判断。,洗漱用品,正常,35,50.0,10.5,1,0,1,365,0,real_user,user_interview,洗漱用品,暂不需要,剩约半管,每天1-2次,开封后建议12个月内使用,个人洗护用品；剩余量估算不精确；有开封后期限，适合测试“估算剩余量”场景。
real_009,毛巾/洗脸巾,日常洗漱使用，更多是卫生更换提醒，不是普通补货。,洗漱用品,需要关注,90,70.0,7.0,1,0,1,90,0,real_user,user_interview,洗漱用品,近期关注,仍可使用,每天,建议定期更换,个人卫生用品；重点不是补货而是卫生更换周期；适合测试周期性提醒。
real_010,洗衣液,衣物清洗使用，用户自己使用、自己购买。,清洁日用,正常,30,50.0,2.5,1,0,0,999,0,real_user,user_interview,清洁日用,暂不需要,剩约半瓶,每周2-3次,无明显保质期压力,个人清洁用品；中频消耗；剩余量较充足；适合作为暂不需要补货的对照样本。
real_011,衣物除菌液,偶尔洗衣服时会加，不是每天使用。,清洁日用,正常,60,60.0,1.0,1,0,1,365,0,real_user,user_interview,清洁日用,暂不需要,剩约60%,每周1次左右,开封后建议12个月内使用,低频清洁用品；有开封后使用期限；当前剩余较多，适合作为低频消耗样本。
real_012,洗手液,宿舍洗手使用，瓶子剩余量能直接看到。,清洁日用,需要关注,25,30.0,7.0,1,0,0,999,0,real_user,user_interview,清洁日用,近期关注,剩约30%,每天,无明显保质期压力,日常清洁用品；高频使用且剩余偏低；适合近期关注和补货时间预测。
real_013,湿巾,擦桌子、擦手时使用，常常临时想起来才用。,清洁日用,需要关注,20,20.0,4.0,1,0,1,90,1,real_user,user_interview,清洁日用,近期关注,剩约10片,每周3-5次,开封后易变干,易耗清洁用品；开封后可能变干；剩余数量较少，适合测试数量型补货提醒。
real_014,消毒酒精喷雾,偶尔给桌面或外带物品消毒。,清洁日用,正常,70,70.0,0.5,1,0,1,90,0,real_user,user_interview,清洁日用,暂不需要,剩约70%,偶尔使用,注意有效期,低频消毒用品；有有效期要求但消耗慢；适合作为保质期与低频使用结合样本。
real_015,创可贴,放在宿舍备用，平时很少用。,健康与补剂用品,过期/损坏风险,120,35.0,0.5,1,0,1,90,0,real_user,user_interview,药品健康,保质期提醒,剩约6片,偶尔使用,以包装标注日期为准,备用药品/健康用品；低频使用但有效期重要；适合测试保质期提醒。
real_016,感冒药,换季或不舒服时备用，不固定使用。,健康与补剂用品,过期/损坏风险,120,50.0,0.5,1,0,1,90,0,real_user,user_interview,药品健康,保质期提醒,剩约半盒,偶尔使用,需核对包装有效期,备用药品；使用频率不固定；购买时间不清，需提醒用户核对有效期。
real_017,退烧/止痛药,作为宿舍备用药，平时不常用。,健康与补剂用品,过期/损坏风险,120,20.0,0.5,1,0,1,90,0,real_user,user_interview,药品健康,保质期提醒,剩约1板,偶尔使用,需核对包装有效期,备用药品；低频高重要性；不是按消耗预测补货，重点是有效期核验。
real_018,口罩,出门或身体不舒服时使用，平时放在抽屉里。,健康与补剂用品,需要关注,30,35.0,0.5,1,0,1,90,0,real_user,user_interview,药品健康,近期关注,剩约8只,偶尔使用,注意包装有效期,健康防护用品；偶尔使用；剩余数量不多且有包装有效期，适合近期关注。
real_019,蛋白粉,蛋白质摄入不够的时候吃蛋白粉,健康与补剂用品,需要关注,40,33.33333333333333,3.5,1,0,1,90,0,real_user,user_interview,健身补剂,近期关注,剩约1/3桶,每周3-4次,需按包装有效期,健身补剂；有保质期且按周消耗；剩余约三分之一，适合预测补货时间。
real_020,维生素片,日常或偶尔补充，容易忘记是否还有。,健康与补剂用品,需要关注,45,25.0,3.0,1,0,1,90,0,real_user,user_interview,健身补剂,近期关注,剩约20片,每周数次,需按包装有效期,健身/健康补充类用品；有有效期；用户可能忘记库存，适合近期关注提醒。
real_021,便携水杯清洁片,偶尔清洁水杯时使用，低频消耗。,其他用品,正常,60,35.0,0.375,1,0,1,90,0,real_user,user_interview,其他用品,暂不需要,剩约5片,每月1-2次,需看包装日期,低频其他用品；有包装日期但消耗慢；当前不需要补货，适合作为低频对照样本。
real_022,一次性手套,吃东西、整理卫生时偶尔用。,其他用品,正常,30,20.0,0.5,1,0,0,999,0,real_user,user_interview,其他用品,暂不需要,剩约10只,偶尔使用,无明显保质期压力,低频易耗品；无明显保质期压力；剩余数量尚可，适合测试偶尔使用场景。
real_023,收纳袋/密封袋,宿舍整理零食或小物时使用，缺了才会买。,其他用品,需要关注,50,25.0,0.5,1,0,0,999,0,real_user,user_interview,其他用品,近期关注,剩约3个,偶尔使用,无,其他收纳用品；低频消耗但剩余较少；缺了才买，适合近期关注提醒。
real_024,笔芯,学习时使用，临近没墨才会发现。,学习用品,需要关注,30,25.0,3.0,1,0,0,999,0,real_user,user_interview,其他用品,近期关注,剩约2支,每周多次,无,学习用品；无保质期；消耗受学习强度影响，适合测试非生活清洁类物品分类。
real_025,充电线,宿舍和上课都可能用，属于不常补货但坏了影响大的物品。,电子配件,需要关注,180,50.0,7.0,1,0,0,999,1,real_user,user_interview,其他用品,近期关注,可用但有磨损,每天,无,电子配件类/其他用品；非传统易耗品，但损坏会影响使用；适合测试异常或边界输入。
real_026,洗洁精,如果在宿舍清洗杯子或餐具会用，使用频率不稳定。,清洁日用,正常,45,50.0,2.5,1,0,0,999,0,real_user,user_interview,清洁日用,暂不需要,剩约半瓶,每周2-3次,无明显保质期压力,清洁日用品；中低频消耗；剩余量较充足，适合作为暂不需要补货样本。
real_027,护手霜,天气干燥时使用，不是固定每天用。,洗漱用品,需要关注,90,20.0,0.5,1,0,1,365,0,real_user,user_interview,洗漱用品,近期关注,剩约20%,偶尔使用,开封后建议12个月内使用,个人护理用品；有开封后使用期限；剩余偏少但使用频率不稳定，适合近期关注。
real_028,小包装纸巾,出门或上课带着用，容易以为还有但实际快没了。,清洁日用,建议补货,10,25.0,7.0,1,0,0,999,0,real_user,user_interview,清洁日用,急需补货,剩约2包,每天,无,便携易耗品；高频使用且容易误判库存；与访谈中“总以为还有纸”痛点一致。
real_029,备用药盒/常用药收纳盒,用于集中放药，但药品日期需要单独核对。,健康与补剂用品,正常,120,70.0,0.5,1,0,0,999,0,real_user,user_interview,药品健康,暂不需要,仍可使用,偶尔使用,无,收纳类物品；本身不易耗，关联药品有效期管理；适合测试系统区分物品与容器。
